ALIMENTO (premi QUI e poi premi CTRL+MAIUSC+T per cercare un alimento);Parte edibile (g);Energia Kcal;Energia KJ;Acqua (g);Prot tot (g);Prot anim;Prot veg;Glucidi tot;Amido;Glucidi solub;Lipidi tot;Saturi tot;Monoins tot;Polins tot;Ac. oleico;Ac. linoleico;Ac. linolenico;altri Polins;Colest;Fibre alim;alcool;Ferro;Ca;Na;K;P;Zn;Vit B1;Vit B2;Vit B3;Vit C;Vit B6;Folico;Retinolo eq;Beta carotene eq;Vit E;Vit D
STARNA [PERDIX PERDIX], COSCIO;64;113;473;70;26,4;26;0;0;0;0;2,6;0,79;0,95;0,63;0,83;0,52;0,06;0;86;0;0;4,5;34;115;37;200;1,9;0,08;0,31;4,6;0;0,35;28;2;2;2;0
STOCCAFISSO [GADUS POUTASSOU], ammollato;85;92;385;76,1;20,7;20;0;0,3;0;0,3;0,9;0,13;0,13;0,39;0,13;2;2;0;50;0;0;0,6;9;136;407;163;0,4;0,01;0,08;1;0;0,18;12;0;0;0,44;2
STOCCAFISSO, secco;78;358;1498;12;80,1;80;0;1,1;0;1,1;3,5;0,68;0,51;1,19;0,32;0,03;0,01;1;82;0;0;3,3;60;500;1500;450;1,6;0,14;0,5;3,5;0;0,86;25;0;0;0,6;2
STRACCHINO;100;300;1255;53,5;18,5;18;0;2;0;2;25,1;15,58;8,12;0,89;6,87;0,52;0,37;0;90;0;0;0,3;567;414;62;374;1,7;0,05;0,36;0,1;2;0,08;19;293;105;0,24;0
STRUTTO O SUGNA;100;892;3732;0,5;0,3;0;0;0;0;0;99;42,47;43,11;11,7;39,06;8,95;0,92;1;95;0;0;0;0;2;1;3;2;0;0;0;0;2;2;0;0;1;2
SUCCO DI ALBICOCCA, CONSERVATO;100;47;197;86;0,3;0;0,3;12;0;12;0,1;0,01;0,04;0,02;0,04;0,02;0;0;0;0,2;0;0,4;9;3;70;13;0,1;0,01;0,01;0,3;60;0,02;1;132;792;0,08;0
SUCCO DI ANANAS, CONSERVATO;100;56;234;85,5;0,3;0;0,3;13,6;0;13,6;0,1;0,01;0,01;0,03;0,01;0,02;0,01;0;0;0,2;0;0,3;17;1;134;8;0,1;0,06;0,02;0,3;11;0,1;23;0;0;0,02;0
SUCCO DI ARANCIA E POMPELMO non zuccherato;100;43;180;88,6;0,6;0;0,6;10,2;0;10,2;0,1;0,01;0,02;0,02;0,02;0,01;0,01;0;0;0,1;0;0,5;8;3;158;14;0,1;0,06;0,03;0,3;29;0,02;14;12;72;0,07;0
SUCCO DI ARANCIA, CONCENTRATO;100;185;774;41,6;2,9;0;2,9;44,9;0;44,9;0,5;0,06;0,1;0,1;0,08;0,08;0,03;0;0;2;0;0,4;36;10;880;83;0,2;0,31;0,13;1,3;210;0,25;90;28;170;0,68;0
SUCCO DI ARANCIA, CONSERVATO, non zuccherato;100;36;151;89,2;0,5;0;0,5;8,8;0;8,8;0,1;0,01;0,02;0,02;0,01;0,02;2;0;0;0,1;0;0,2;10;10;150;13;2;0,08;0,02;0,2;39;0,07;20;3;17;0,17;0
SUCCO DI BARBABIETOLA, FRESCO;100;14;59;93,8;0,8;0;0,8;2,9;0;2,9;0;0;0;0;0;0;0;0;0;1,9;0;0,3;14;60;214;15;0,3;0,02;0,01;0,1;5;0,01;72;2;2;2;0
SUCCO DI CAROTE, CONSERVATO;100;24;100;92,3;0,5;0;0,5;5,7;2;5,7;0,1;0,02;2;0,05;2;0,04;0,01;0;0;0,6;0;0,2;16;51;240;25;0,1;0,03;0,07;0,7;6;0,14;12;1353;8115;0,56;0
SUCCO DI FRUTTA, CONSERVATO;100;56;234;84,5;0,3;0;0,3;14,5;0;14,5;0,1;0,02;0,03;0,06;0,03;0,05;0,01;0;0;0,2;0;0,3;8;7;70;11;0,1;0,01;0,03;0,3;60;0,04;1;2;2;2;0
SUCCO DI LIMONE, CONSERVATO;100;21;88;92,5;0,4;0;0,4;6,1;0;6,1;0,3;0,04;0,01;0,09;0,01;0,06;0,03;0;0;0,4;0;0,1;11;21;102;9;0,1;0,04;0,01;0,2;25;0,04;10;2;12;0,09;0
SUCCO DI LIMONE, FRESCO;100;6;25;92,1;0,2;0;0,2;1,4;0;1,4;0;0;0;0;0;0;0;0;0;0;0;0,2;14;2;140;10;2;0,02;0,02;0,2;43;0,05;13;2;2;0,19;0
SUCCO DI MANDARINO, CONSERVATO, non zuccherat;100;50;209;87;0,5;0;0,5;11,8;0;11,8;0,2;0,01;0,02;0,03;0,02;0,02;0,01;0;0;0,2;0;0,2;18;1;178;14;2;0,06;0,02;0,1;32;0,03;5;42;252;0,09;0
SUCCO DI MANDARINO, FRESCO;100;43;180;88,9;0,5;0;0,5;9,9;0;9,9;0,2;0,02;0,04;0,04;0,03;0,03;0,01;0;0;0,2;0;0,2;18;1;178;14;2;0,06;0,02;0,1;31;0,04;5;42;252;0,09;0
SUCCO DI MELA, CONSERVATO, non zuccherato;100;38;159;88;0,1;0;0,1;9,9;0;9,9;0,1;0,02;2;0,03;2;0,03;0,01;0;0;2;0;0,1;7;2;110;6;2;0,01;0,01;0,1;14;0,02;4;2;2;2;0
SUCCO DI MELAGRANA, FRESCO;100;44;184;85,4;0,2;0;0,2;11,6;0;11,6;2;0;0;0;0;0;0;0;0;2;0;0,2;3;1;200;8;0,1;0,02;0,03;0,2;8;0,31;6;6;33;0,55;0
SUCCO DI PERA, CONSERVATO;100;60;251;84;0,1;0;0,1;15,2;0;15,2;2;0;0;0;0;0;0;0;0;0,6;0;0,3;5;4;13;3;0,1;2;0,01;0,1;1;0,01;1;0;0;0,1;0
SUCCO DI PESCA, CONSERVATO;100;54;226;85,6;0,3;0;0,3;13,3;0;13,3;2;0;0;0;0;0;0;0;0;0,6;0;0,2;5;7;40;6;0,1;2;0,01;0,3;5;0,01;1;26;156;0,01;0
SUCCO DI POMODORO, CONSERVATO;100;14;59;93,8;0,8;0;0,8;3;2;3;2;0;0;0;0;0;0;0;0;0,6;0;0,4;10;230;230;19;0,1;0,02;0,02;0,7;8;0,06;10;33;200;1,01;0
SUCCO DI POMPELMO, CONSERVATO, non zuccherato;100;33;138;89,4;0,4;0;0,4;8,3;0;8,3;0,1;0,01;0,01;0,03;0,01;0,02;0,01;0;0;2;0;0,2;14;7;100;11;2;0,04;0,01;0,2;31;0,02;6;2;1;0,19;0
SUCCO DI POMPELMO, CONSERVATO, zuccherato;100;46;192;87,4;0,6;0;0,6;11;0;11;0,1;0,01;0,01;0,02;0,01;0,02;2;0;0;0,1;0;0,4;8;2;162;11;0,1;0,04;0,02;0,3;27;0,02;10;0;0;0,05;0
SUCCO DI SPINACI;100;10;42;95,4;1,4;0;1,4;0,5;2;0,5;0,3;0,03;0,02;0,2;0,02;0,03;0,16;0;0;0,9;0;1,4;1;73;412;44;0,2;0,03;0,17;0,2;29;0,08;70;225;1352;0,79;0
SUCCO DI UVA, CONSERVATO, non zuccherato;100;46;192;85,4;0,3;0;0,3;11,7;0;11,7;0,1;0,03;2;0,03;2;0,02;0,01;0;0;0;0;0,9;19;7;55;14;0,1;2;0,01;0,1;2;0,04;1;2;2;2;0
SUCCO TROPICALE, CONSERVATO;100;47;197;88;0,2;0;0,2;11,6;0;11,6;0,1;0,01;0,01;0,03;0,01;0,02;0,01;0;0;0;0;0,3;7;14;61;6;0,1;0,03;0,02;0,3;46;0,04;11;4;24;0;0
SUINO [SUS SCROFA], CARNE SEMIGRASSA;100;268;1121;60;17,2;17;0;0;0;0;22,1;10,11;6,86;4,05;6,09;4,02;0,03;0;62;0;0;1,4;7;59;300;158;1,3;0,38;0,1;4;0;0,62;1;0;0;0,11;0
SUINO, BISTECCA;75;100;418;74;18,3;18;0;0;0;0;3;1,37;0,93;0,55;0,83;0,55;2;0;60;0;0;1,5;8;76;370;223;1,8;1,12;0,18;4,5;0;0,59;1;0;0;0,05;0
SUINO, CARNE MAGRA;100;141;590;72,5;19,9;19;0;0;0;0;6,8;3,11;2,11;1,25;1,88;1,24;0,01;0;60;0;0;1,7;8;76;370;176;2,9;0,4;0,11;4,8;0;0,5;1;0;0;2;0
SUINO, COSCIO;100;102;427;75,3;18,7;18;0;0;0;0;3;1,37;0,93;0,55;0,83;0,55;2;0;60;0;0;1,6;12;76;370;233;1,8;1,35;0,2;4,5;0;0,56;1;0;0;0,05;0
SUINO, CUORE;100;159;665;72;18,3;18;0;0,4;0;0,4;9,4;2,71;2,35;2,01;2,18;1,41;0,13;0;79;0;0;5,3;35;80;300;245;2,3;0,4;1,27;6,1;5;0,37;3;9;27;0,45;0
SUINO, FEGATO;100;140;586;70;22,8;22;0;1,5;0;1,5;4,8;1,48;0,74;1,31;0,68;0,52;0,02;0;403;0;0;18;10;108;356;362;7;0,4;2,98;14,5;23;0,59;295;16500;2;0,51;1
SUINO, SANGUE;100;78;326;79,1;19;19;0;0,1;0;0,1;0,2;0,01;0,01;0,12;0,01;0,08;0,04;0;46;0;0;0,2;10;207;185;49;0,3;0,02;0,09;0,6;0;0;4;11;0;0,4;0
SURIMI;100;99;414;76,3;15,2;15;0;6,9;6,9;2;0,9;0,17;0,21;0,36;0,06;2;2;0;30;0;0;0,3;9;143;112;282;0,3;0,02;0,02;0,2;0;0,03;2;20;2;0,44;2
TACCHINA [MELEAGRIS GALLOPAVO], PETTO;100;145;607;70,2;22;22;0;0,4;0;0,4;6,2;2,01;2,2;1,34;1,9;1,07;0,09;0;57;0;0;2,5;23;51;320;290;1;0,08;0,13;11;0;0,81;9;0;0;2;0
TACCHINA, ALA;75;241;1008;59,7;22,3;22;0;0;0;0;16,9;5,11;6,2;4,09;5,4;3,39;0,4;0;78;0;0;2,5;27;70;320;257;1,8;0,11;0,27;4,6;0;0,55;16;0;0;0,01;0
TACCHINA, COSCIA;87;253;1059;59,6;20,9;20;0;0,4;0;0,4;18,7;5,65;6,86;4,52;5,97;3,75;0,44;0;86;0;0;2,5;27;81;310;257;3,1;0,11;0,27;4,6;0;0,35;28;0;0;2;0
TACCHINO [MELEAGRIS GALLOPAVO], INTERO;75;146;611;72;21;21;0;0,1;0;0,1;6,8;2,2;2,41;1,47;2,08;1,18;0,1;0;82;0;0;3,1;23;66;315;287;1,8;0,13;0,11;8;0;0,55;16;7;2;0,01;0
TACCHINO, ALA;75;193;808;68,2;22,3;22;0;0;0;0;11,5;3,48;4,22;2,78;3,67;2,3;0,27;0;78;0;0;2,5;23;70;320;257;1,8;0,11;0,14;7,5;0;0,55;16;0;0;0,01;0
TACCHINO, COSCIA;87;186;778;69,2;20,9;20;0;0,4;0;0,4;11,2;3,39;4,11;2,71;3,58;2,24;0,26;0;86;0;0;2,5;23;81;310;257;3,1;0,11;0,14;7,1;0;0,35;28;0;0;2;0
TACCHINO, PETTO;100;134;561;70,2;22;22;0;0,4;0;0,4;4,9;1,59;1,74;1,06;1,5;0,85;0,07;0;57;0;0;2,5;23;51;320;290;1;0,08;0,13;0,8;0;0,81;9;0;0;2;0
TALEGGIO;100;306;1280;50;20,6;20;0;2;0;2;24,8;15,39;8,02;0,88;6,78;0,51;0,36;0;90;0;0;0,6;562;1153;121;310;2;0,05;0,52;1;2;0,22;102;283;315;0,65;0
TAMARI, salsa di soia;100;60;251;66;10,5;0;10,5;4,8;0,5;4,3;0,1;0,01;0,02;0,04;0,02;0,04;0;0;0;0,8;0;2,4;20;5586;212;130;0,4;0,06;0,15;4;0;0,2;18;0;0;0;0
TAPIOCA [MANIHOT UTILISSIMA];100;363;1519;12,6;0,6;0;0,6;95,8;95,8;2;0,2;0,05;0,05;0,03;0,05;0,02;0,01;0;0;0,4;0;1;12;4;20;12;0,1;0;0,1;0;0;2;2;0;0;2;0
TARTUFO NERO [TUBER MELANOSPORUM];79;31;130;76,3;6;0;6;0,7;0;0,7;0,5;0,11;2;0,27;2;0,05;0,22;0;0;8,5;0;3,5;24;55;368;62;3,8;0,05;0,09;2;1;0,18;44;0;0;0,12;0
TE' DETEINATO, in foglie;100;108;452;9,3;19,6;0;19,6;3;2;3;2;0,44;0,22;0,89;0;0,22;0,67;0;0;0;0;15,2;430;45;2160;630;3;0,14;1,2;7,5;2;0,25;3;2;2;3;0
TE' DETEINATO, in tazza;100;2;2;99,5;0,1;0;0,1;2;0;2;2;2;2;2;2;2;2;2;0;0;0;2;2;2;27;2;2;2;0,02;0;0;2;3;0;0;0;0
TE', in foglie;100;108;452;9,3;19,6;0;19,6;3;2;3;2;0,44;0,22;0,89;0;0,22;0,67;0;0;44,7;0;15,2;430;45;2160;630;3;0,14;1,2;7,5;2;0,25;3;2;2;3;0
TE', in tazza;100;2;2;99,5;0,1;0;0,1;2;0;2;2;2;2;2;2;2;2;2;0;0;0;2;2;2;27;2;2;2;0,02;0;0;2;3;0;0;0;0
TEMPEH;100;166;695;61;20,7;0;20,7;6,4;4,6;0,9;6,4;0,92;1,41;3,61;1,39;3,18;0,43;0;0;4,1;0;3,6;120;6;370;200;1,8;0,19;0,48;3,2;0;1,86;76;5;30;3;0
TIMO [THYMUS VULGARIS], fresco;100;95;397;69,3;3;0;3;15,1;2;15,1;2,5;0,69;0,12;0,79;0,12;0,13;0,67;0;0;12,3;0;41,2;630;18;270;67;2,1;0,16;0,22;1,6;2;0,31;40;127;760;1,7;0
TIMO, secco macinato;100;276;1155;7,8;9,1;0;9,1;45,3;2;45,3;7,4;2,73;0,47;1,19;0,47;0,5;0,69;0;0;18,6;0;123,6;1890;55;810;200;6,2;0,51;0,4;4,9;0;0,38;0;380;2280;9,15;0
TINCA [TINCA TINCA];55;76;318;78,5;17,9;17;0;0;0;0;0,5;0,1;0,21;0,13;0,1;0,05;0,02;0;29;0;0;1;31;80;245;218;0,5;0,06;0,15;2,9;2;0,19;15;18;2;0,63;10
TIRAMISU';100;411;1720;38,8;13,2;7;5,7;33,5;12,4;21,1;25,8;14,32;8,71;1,27;7,8;0,99;0,23;0;197;7,5;0;4,6;55;303;460;288;2,4;0,07;0,23;0,6;0;0,07;27;151;106;1,02;0
TISANA IN TAZZA;100;1;4;99,7;0;0;0;0,2;0;0;2;2;2;2;2;2;2;2;0;0;0;0,1;2;2;9;2;2;0,01;2;0;0;0;1;0;0;0;0
TOFU;100;76;318;84,6;8,1;0;8,1;0,7;3;3;4,8;0,07;1,06;2,7;1,04;2,38;0,32;0;0;1,2;0;5,4;105;7;121;97;0,8;0,08;0,05;1,2;0;0,05;15;9;54;0,01;0
TONNO [THUNNUS THYNNUS];90;158;661;61,5;21,5;21;0;0;0;0;8;2,09;2,09;2,96;1,39;0,17;0;2;27;0;0;1,3;38;43;520;264;0,5;0,2;0,12;8,5;2;0,49;20;450;2;0,55;16
TONNO IN SALAMOIA, SGOCCIOLATO;100;103;431;73,4;25,1;25;0;0;0;0;0,3;0,1;0,05;0,05;0,05;2;2;0;63;0;0;1;8;320;230;170;0,7;0,06;0,09;10;0;0,47;4;65;2;0,28;2
TONNO SOTT'OLIO, SGOCCIOLATO;100;258;1079;54,6;22,8;22;0;0;0;0;18,5;3,13;6,83;6,38;6,83;6,09;0,15;0;65;0;0;1,9;8;361;343;234;0,3;0,05;0,12;11,9;0;0,44;15;16;2;5,55;4
TORDO [TURDUS ERYCETORUM];58;143;598;68;20,1;20;0;0;0;0;7,7;2,33;2,82;1,86;2,46;1,54;0,18;0;86;0;0;7,2;13;168;132;200;1,2;0,1;0,1;4,6;0;0,35;28;2;2;2;0
TORRONE CON MANDORLE;100;479;2004;6,9;10,8;0;9,9;52;0;52;26,8;2,23;19,11;5,26;18,93;5,11;0,14;0;0;1,9;0;3,5;80;19;466;265;1,8;0,16;0,25;1,2;0;0,08;26;0;0;12,38;0
TORTA AL CIOCCOLATO;100;315;1318;28;4,9;2;2,2;36,8;9,2;27,6;17,5;6,97;6,87;2,64;6,15;2,44;0,19;0;58;3,6;0;2;29;103;199;125;0,9;0,14;0,21;1,1;2;0,04;10;40;15;1,59;0
TORTA MARGHERITA;100;368;1540;19,4;8,9;6;2;63,6;29,5;34,1;10,4;5,12;3,33;0,68;2,95;0,54;0,12;0;168;1;0;2,8;9;350;82;121;0,7;0;0,12;0,5;0;0,06;10;2;2;2,61;2
TORTELLINI, freschi;100;310;1297;28,2;12,2;9;3,2;52,6;50,3;2,3;7,1;3,19;2,53;0,75;2,28;0,65;0,08;0;177;1,3;0;1,6;146;264;190;236;2,3;0,21;0,15;1,8;0;0,22;25;104;49;0,56;0
TORTELLINI, secchi;100;389;1628;12,3;15,7;11;4,1;61;58,3;2,7;10,8;4,84;3,84;1,14;3,48;0,98;0,11;0;271;2;0;2,5;224;405;291;362;3,6;0,32;0,22;2,8;0;0,34;38;160;75;0,86;1
TRIGLIA [MULLUS SURMULETUS];60;123;515;75,3;15,8;15;0;1,1;0;1,1;6,2;1,62;1,43;1,88;0,75;0,36;0;1;94;0;0;1,1;21;91;340;218;0,3;0,07;0,07;4,2;2;0,42;11;9;2;0,83;1
TROTA [SALMO TRUTTA];55;86;360;80,5;14,7;14;0;0;0;0;3;0,7;0,77;1,17;0,52;0,37;0,1;0;55;0;0;1;14;40;465;220;0,9;0,08;0,06;3;2;0,2;13;2;2;0,2;10
UOVO DI ANATRA;88;190;795;70,9;12,2;12;0;0,7;0;0,7;15,4;4,12;7,3;1,37;6,8;0,62;0,11;0;887;0;0;2,8;57;122;129;195;1,4;0,15;0,3;0,1;0;0,25;80;360;113;0,83;6
UOVO DI GALLINA, ALBUME;100;47;197;87,6;10,9;10;0;0,8;0;0,8;2;0;0;0;0;0;0;0;0;0;0;0,1;9;190;150;15;0,1;0,02;0,27;0,1;0;0,02;13;0;0;0;0
UOVO DI GALLINA, INTERO;89;156;653;73,9;13;13;0;1;0;1;11,1;3,31;4,48;1,33;4,05;1,2;0,05;0;504;0;0;2,5;50;140;140;210;1,4;0,11;0,31;0,1;0;0,12;50;225;84;1,11;1
UOVO DI GALLINA, INTERO, IN POLVERE;100;574;2402;4,1;47;47;0;4,1;0;4,1;41,2;12,96;16,11;4,48;14,67;3,8;0;0;1900;0;0;8,7;187;520;480;800;5;0,33;1,2;0,2;0;0,46;190;850;264;4,28;6
UOVO DI GALLINA, TUORLO;100;355;1485;49,2;16,3;16;0;0,7;0;0,7;31,9;9,85;12,76;3,8;11,54;3,42;0,15;0;1480;0;0;6,1;147;50;120;586;3,6;0,27;0,35;0,1;0;0,3;130;640;198;3,11;4
UOVO DI OCA;87;189;791;69,7;13,8;13;0;1;0;1;14,4;3,6;5,74;1,51;5,35;0,68;0,55;0;852;0;0;2,6;52;138;210;200;1,3;0,1;0,3;0,1;0;0,24;76;330;71;0,74;5
UOVO DI TACCHINA;87;147;615;72,6;12,8;12;0;1;0;1;10,2;3,64;4,57;1,38;3,9;1,17;0,08;0;801;0;0;2,5;50;151;142;200;1,6;0,15;0,3;0,1;0;0,13;71;225;84;1,11;1
UVA [VITIS VINIFERA];94;61;255;80,3;0,5;0;0,5;15,6;0;15,6;0,1;0,03;2;0,03;2;0,02;0,01;0;0;1,5;0;0,4;27;1;192;4;0,1;0,03;0,03;0,1;6;0,1;2;4;24;2;0
UVA SULTANINA/UVETTA, UVA SECCA;100;283;1184;17,1;1,9;0;1,9;72;0;72;0,6;0,2;0,02;0,18;0,02;0,14;0,04;0;0;6,8;0;3,3;78;52;864;29;0,1;0,12;0,08;0,3;0;0,25;27;3;18;1,05;0
VALERIANA [VALERIANELLA OLITORIA];100;21;88;92,8;2;0;2;3,6;0;3,6;0,4;0,05;0,01;0,21;0,01;0,06;0,15;0;0;1,5;0;2,2;38;4;459;53;0,6;0,07;0,09;0,4;38;0,27;14;709;4254;0,6;0
VANIGLIA, estratto alcolico;100;288;1205;52,6;0,1;0;0,1;12,7;2;12,7;0,1;0,01;0,01;2;0,01;2;2;2;0;0;34;0,1;11;9;148;6;0,1;0,01;0,1;0,4;0;0,03;0;0;0;0;0
VENTAGLIO O PETTINE [PECTEN JACOBEAUS];32;88;368;78,6;16,8;16;0;2,4;0;2;0,8;0,08;0,04;0,26;0,02;2;0;0;33;0;0;0,3;24;161;322;219;1;0,01;0,07;1,2;3;0,15;16;15;2;1;2
VERDURA E LEGUMI, SURGELATI;100;64;268;82,1;3,3;0;3,3;9,5;5,9;3,5;0,5;0,1;0,03;0,24;0,03;0,17;0,06;0;0;4;0;1;25;47;212;59;0,5;0,12;0,09;1,3;10;0,1;29;508;3048;0,3;0
VERMOUTH DOLCE;100;151;632;70,6;2;0;2;15,9;0;15,9;0;0;0;0;0;0;0;0;0;0;13;0,4;6;28;30;6;2;2;2;0;0;2;2;2;2;0;0
VERMOUTH SECCO;100;109;456;82,1;0,1;0;0,1;3;0;3;0;0;0;0;0;0;0;0;0;0;13;0,3;7;11;34;6;2;2;2;0;0;0,01;2;2;2;0;0
VINO BIANCO;100;71;297;89,7;0,1;0;0,1;0,1;0;0,1;0;0;0;0;0;0;0;0;0;0;10;1;9;11;81;74;2;0,01;0,05;2;2;0,01;2;2;2;0;0
VINO ROSATO;100;71;297;87,3;0,1;0;0,1;2,5;0;2,5;0;0;0;0;0;0;0;0;0;0;8;1;12;4;75;6;2;2;0,01;0,1;0;0,02;2;2;2;0;0
VINO ROSSO;100;76;318;89;0,1;0;0,1;0,2;0;0,2;0;0;0;0;0;0;0;0;0;0;10;0,9;7;7;110;13;0,1;2;0,02;0,1;0;0,03;1;2;2;0;0
VITELLO [BOS TAURUS], CARNE MAGRA;100;92;385;76,9;20,7;20;0;0,1;0;0,1;1;0,36;0,4;0,14;0,35;0,1;0;0;70;0;0;2,3;14;89;360;214;2,4;0,15;0,26;6,3;0;0,65;23;0;0;0,26;1
VITELLO, CARNE SEMIGRASSA;100;144;602;70,1;20,3;20;0;0;0;0;7;2,52;2,8;0,98;2,42;0,69;0;0;62;0;0;0,8;9;83;260;170;3;0,06;0,14;5,9;0;0,49;14;2;2;0,17;1
VITELLO, CORATELLA;100;103;431;78;17,1;17;0;1,6;0;1,6;3,2;1,71;1,16;0,39;0,97;0,14;0,04;0;236;0;0;15,5;11;115;352;244;2,3;0,34;1,21;7;31;0,29;113;4163;440;0,51;0
VITELLONE [BOS TAURUS], CARNE SEMIGRASSA;100;160;669;69,6;19,1;19;0;0;0;0;9,3;3,94;4,55;0,39;3,84;0,18;0,12;0;70;0;0;2,1;10;51;330;172;3,6;0,1;0,12;4,2;0;0,54;16;2;0;0,15;0
VITELLONE, CARNE GRASSA;100;204;854;66,3;18,1;18;0;0;0;0;14,6;6,18;7,15;0,62;6,03;0,28;0,19;0;71;0;0;2;10;51;330;168;3,9;0,07;0,11;4,7;0;0,37;14;2;0;0,17;0
VITELLONE, CARNE MAGRA;100;113;473;71,5;21,3;21;0;0;0;0;3,1;1,31;1,52;0,13;1,28;0,06;0,04;0;70;0;0;2,3;11;89;360;175;5,7;0,1;0,17;4,3;0;0,45;5;0;0;0,2;0
VITELLONE, tagli di carne grassa;100;155;649;70,4;20,2;20;0;0;0;0;8,3;3,51;4,06;0,35;3,43;0,16;0,11;0;62;0;0;1,7;6;55;315;180;3,8;0,07;0,27;3,9;0;0,42;53;2;2;0,09;0
VITELLONE, tagli di carne magra;100;108;452;74,9;21,3;21;0;0;0;0;2,8;1,19;1,37;0,12;1,16;0,05;0,04;0;50;0;0;1,8;4;51;340;220;2,8;0,09;0,19;5,3;0;0,55;24;2;2;0,15;0
VITELLONE, tagli di carne semigrassa;100;140;586;71,4;21,5;21;0;0;0;0;6,1;2,58;2,99;0,26;2,52;0,12;0,08;0;54;0;0;1,8;4;51;340;190;3,8;0,09;0,24;4,9;0;0,51;14;2;2;0,14;0
VODKA;100;222;929;63,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;0;0;1;1;5;0;0,01;0,01;0;0;0;0;0;0;0;0
VONGOLA [AMIGDALA DECUSSATA];25;72;301;82,5;10,2;10;0;2,2;0;2;2,5;0,24;0,21;0,73;0,09;0,04;0,1;0;50;0;0;14;46;56;314;169;1,4;0,08;0,21;1,8;13;0,06;16;16;2;1;2
VONGOLE IN SCATOLA, AL NATURALE;100;148;619;63,6;25,6;25;0;5,1;0;2;2;0,19;0,17;0,55;0,07;0,03;0,01;0;67;0;0;28;92;112;628;338;2,7;0,15;0,43;3,4;22;0,11;29;171;2;1;2
WAKAME [UNDARIA spp], secca;100;71;297;12,2;12,4;0;12,4;2;0;2;2,4;0,49;0,22;0,82;0,08;0,04;0,01;0;0;47,1;0;11,6;660;3220;220;310;1,7;0,11;0,14;4,6;15;0,01;196;86;515;1;0
WHISKY;100;238;996;65,9;0;0;0;0,1;0;0,1;0;0;0;0;0;0;0;0;0;0;34;0;0;2;2;5;0,1;0,01;2;0,1;0;0;0;0;0;0;0
WURSTEL;100;270;1130;58,9;13,7;13;0;1,4;0;1,4;23,3;6,94;10,81;4,43;9,83;3,57;0,27;0;62;0;0;1,5;33;1916;338;130;3,9;0,15;0,3;2,7;0;0,03;1;2;0;0,25;2
WURSTEL DI POLLO;100;257;1075;57,5;12,9;12;0;6,8;0;6,8;19,5;5,54;8,48;4,04;7,14;3,74;0,15;0;101;0;0;2;95;1370;84;107;1;0,07;0,12;3,1;0;0,32;4;38;0;0,22;0
WURSTEL DI TACCHINO;100;226;946;70;14,3;14;0;1,5;0;1,5;17,7;5,89;5,58;5;5,3;4,64;0,36;0;107;0;0;1,8;106;1426;179;134;3,1;0,04;0,18;4,1;0;0,23;8;0;0;0,62;0
YOGURT DI LATTE INTERO;100;63;264;87;3,5;3;0;3,6;0;3,6;3,9;2,07;0,84;0,13;0,83;0,08;0,05;0;18;0;0;0,1;111;48;150;87;0,5;0,03;0,16;0,1;1;0,1;18;28;13;0,05;0
YOGURT DI LATTE INTERO AI CEREALI E MALTO;100;95;397;78,6;3,5;3;0,3;12,9;3,9;9;3,6;1,87;0,77;0,14;0,76;0,09;0,05;0;16;0,2;0;0,3;104;44;140;81;0,5;0,08;0,22;0,9;1;0,18;29;25;12;0,07;0
YOGURT DI LATTE INTERO ALLA FRUTTA;100;88;368;81;2,8;2;0;12,6;0;12,6;3,3;1,75;0,71;0,11;0,7;0,07;0,04;0;7;0,2;0;0,1;111;48;150;87;0,5;0,03;0,16;0,1;1;0,07;10;33;15;0,05;0
YOGURT DI LATTE MAGRO ALLA FRUTTA;100;90;377;77;4,1;4;0;17,9;0;17,9;0,7;0,39;0,16;0,02;0,14;0,02;2;0;4;0,2;0;0,1;150;64;210;120;0,5;0,05;0,21;0,1;1;0,08;16;11;4;0,01;0
YOGURT DI LATTE PARZIALMENTE SCREMATO;100;43;180;89;3,4;3;0;3,8;0;3,8;1,7;0,95;0,38;0,05;0,35;0,04;0,01;0;8;0;0;0,1;120;45;149;94;0,6;0,04;0,18;0,1;1;0,09;17;11;5;0,01;0
YOGURT DI LATTE SCREMATO;100;36;151;89;3,3;3;0;4;0;4;0,9;0,5;0,2;0,03;0,19;0,02;0,01;0;4;0;0;0,1;94;58;185;74;0,6;0,03;0,14;0;1;0,09;17;13;6;0,01;0
ZAFFERANO [CROCUS SATIVUS];100;310;1297;11,9;11,4;0;11,4;61,5;19,1;42,4;5,9;1,59;0,43;2,07;0,39;0,75;1,24;0;0;3,9;0;11,1;110;150;1720;250;1,1;0,12;0,27;1,5;0;1,3;0;53;318;1,69;0
ZAMPONE;100;360;1506;45,5;19,1;19;0;0;0;0;31,6;10,35;15,51;4,2;14,08;3,55;0,22;0;95;0;0;2,1;20;1375;186;170;4,3;0,26;0,21;3;0;0,14;8;0;0;1,17;0
ZUCCA GIALLA [CUCURBITA MAXIMA];81;18;75;94,6;1,1;0;1,1;3,5;1;2,5;0,1;0,05;0,01;0,01;0,01;2;2;0;0;0,5;0;0,9;20;1;202;40;0,2;0,03;0,02;0,5;9;0,02;10;599;3594;1,06;0
