ALIMENTO (premi QUI e poi premi CTRL+MAIUSC+T per cercare un alimento);Parte edibile (g);Energia Kcal;Energia KJ;Acqua (g);Prot tot (g);Prot anim;Prot veg;Glucidi tot;Amido;Glucidi solub;Lipidi tot;Saturi tot;Monoins tot;Polins tot;Ac. oleico;Ac. linoleico;Ac. linolenico;altri Polins;Colest;Fibre alim;alcool;Ferro;Ca;Na;K;P;Zn;Vit B1;Vit B2;Vit B3;Vit C;Vit B6;Folico;Retinolo eq;Beta carotene eq;Vit E;Vit D
RISO [ORYZA SATIVA], BRILLATO;100;362;1515;12,9;7;0;7;87,6;87,4;0,2;0,6;0,14;0,15;0,22;0,15;0,21;0,01;2;0;1,4;0;0,6;6;6;110;120;1,3;0,06;0,03;1,3;0;0,3;20;0;0;0,06;0
RISO SOFFIATO;100;369;1544;11,7;6,1;0;6,1;89,7;79,1;10,6;0,9;0,2;0,23;0,32;0,23;0,32;2;0;0;1,1;0;6,7;20;1260;150;130;1,1;1;1,5;16;0;1,8;250;0;0;0,6;0
RISO, SBRAMATO (INTEGRALE);100;357;1494;13,9;6,7;0;6,7;81,3;80;1,3;2,8;0,56;1,01;1;1;0,96;0,04;0;0;3,8;0;1,4;10;3;250;310;1,8;0,59;0,07;5,3;0;0,51;49;0;0;0,8;0
RISO, TIPO PARBOILED;100;364;1523;12,4;6,7;0;6,7;79,3;79,3;2;1;0,27;0,31;0,27;0,31;0,22;0,05;2;0;2,2;0;1,2;7;2;150;130;2;0,2;0,08;2,6;0;0,35;11;0;0;0,13;0
ROBIOLA;100;309;1293;51;18,9;18;0;2;0;2;25,9;16,07;8,38;0,91;7,08;0,53;0,38;0;90;0;0;0,7;704;1110;96;374;4,1;0,05;0,24;0,8;2;0,08;19;293;105;0,24;0
ROCHEFORT;100;375;1569;41,3;19,7;19;0;2;0;2;32,9;20,68;9,09;1,42;8,01;0,67;0,75;0;90;0;0;0,4;530;1670;31;400;1,6;0,04;0,65;0,5;2;0,09;45;297;10;0,55;0
ROMBO [RHOMBUS MAXIMUM];55;81;339;79,5;16,3;16;0;1,2;0;1,2;1,3;0,17;0,25;0,73;0,12;2;0,17;0;70;0;0;1,2;38;83;319;264;0,2;0,05;0,11;3,7;2;0,21;8;2;2;0,4;2
ROSMARINO [ROSMARINUS OFFICINALIS], fresco;100;96;402;73,6;1,4;0;1,4;13,5;2;13,5;4,4;1,14;0,29;2,25;0,22;0,45;1,79;0;0;7,7;0;8,5;370;15;280;20;0,9;0,1;0,21;1;29;0,09;0;92;550;1,5;0
ROSMARINO, secco;100;331;1385;9,3;4,9;0;4,9;46,4;2;46,4;15,2;3,94;0,99;7,76;0,76;1,56;6,2;0;0;17,7;0;29,3;1280;50;950;70;3,2;0,1;0,32;1;0;0,38;0;313;1880;9,15;0
RUCOLA [ERUCA SATIVA];40;25;105;91,7;2,6;0;2,6;2,1;2;2,1;0,7;0,09;0,05;0,32;0,05;0,13;0,17;0;0;1,6;0;1,5;160;27;369;52;0,4;0,04;0,09;0,3;15;0,07;97;237;1422;0,43;0
SALAME CACCIATORE;100;424;1774;30,6;28,5;28;0;1,2;0;1,2;34;10,8;16,33;4,9;14,91;4,17;0,21;0;99;0;0;1,8;59;2064;600;356;5;0,28;0,16;2,5;0;0,15;3;2;0;0,28;2
SALAME DA CUOCERE;100;326;1364;48;36;36;0;1,5;0;1,5;19,6;6,23;8,34;3,51;7,78;2,75;0,49;0;60;0;0;1,6;50;2339;707;356;5,4;0,17;0,15;5,9;0;0,36;3;2;0;0,23;2
SALAME DI SUINO;97;475;1987;28;22,5;22;0;0;0;0;42,8;13,6;18,22;7,67;17;5,88;1,07;0;90;0;0;2,4;21;1850;160;246;1,7;0,32;0,2;5;0;0,15;3;2;2;0,28;2
SALAME DI SUINO E BOVINO;97;454;1900;27;27,4;27;0;0;0;0;38,3;14,5;18,15;3,25;16,28;2,7;0,56;0;55;0;0;2,4;21;1019;180;246;1,9;0,32;0,2;2,6;0;0,18;5;0;0;0,22;2
SALAME FABRIANO;100;421;1761;32;26,5;26;0;1,5;0;1,5;34,3;12,19;15,84;4,47;14,53;3,91;0,23;0;88;0;0;1,5;65;2391;646;356;5,4;0,15;0,1;2,5;0;0,15;3;2;0;0,28;2
SALAME FELINO;100;375;1569;35,2;30,5;30;0;0,5;0;0,5;27,9;9,51;11,88;4,34;11,26;3,49;0,37;0;95;0;0;2,1;20;2502;716;356;6,4;0,34;0,26;2,5;0;0,15;3;2;0;0,28;2
SALAME MILANO;100;390;1632;35,5;26,7;26;0;1,5;0;1,5;30,9;9,82;13,15;5,53;12,27;4,24;0,77;0;90;0;0;1,6;50;2339;707;356;5,4;0,24;0,21;2,5;0;0,15;3;2;0;0,28;2
SALAME NAPOLI;100;358;1498;39;26,7;26;0;1,7;0;1,7;27,3;8,04;12,02;4,89;10,69;4,1;0,2;0;86;0;0;1,6;51;2688;784;356;6;0,16;0,14;2,5;0;0,36;3;2;0;0,23;2
